name_ima,Expected,Catalog_predict,WildClip_predict,BioCLIP_predict
0_0_58f1087d-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_58f108c9-23d2-11e8-a6a3-ec086b02610b,cat,cat,opossum,rabbit
0_0_58f5b011-23d2-11e8-a6a3-ec086b02610b,cat,cat,deer,fox
0_0_58fa5d8d-23d2-11e8-a6a3-ec086b02610b,cat,cat,fox,dog
0_0_58fd7be0-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rodent
0_0_58fd7c65-23d2-11e8-a6a3-ec086b02610b,cat,cat,skunk,rabbit
0_0_58fd7d2f-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_58fd7ecd-23d2-11e8-a6a3-ec086b02610b,cat,cat,bird,skunk
0_0_58ff0d19-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,bobcat
0_0_58ff0fc9-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,badger
0_0_58ff0fd9-23d2-11e8-a6a3-ec086b02610b,cat,cat,empty,coyote
0_0_5900a15c-23d2-11e8-a6a3-ec086b02610b,cat,cat,opossum,rabbit
0_0_5900a38d-23d2-11e8-a6a3-ec086b02610b,cat,cat,bird,rabbit
0_0_5902362d-23d2-11e8-a6a3-ec086b02610b,cat,cat,coyote,fox
0_0_59023702-23d2-11e8-a6a3-ec086b02610b,cat,cat,raccoon,rabbit
0_0_590b9c8c-23d2-11e8-a6a3-ec086b02610b,cat,cat,empty,rabbit
0_0_590d2e23-23d2-11e8-a6a3-ec086b02610b,cat,cat,coyote,badger
0_0_5914ee63-23d2-11e8-a6a3-ec086b02610b,cat,cat,bird,fox
0_0_591809a3-23d2-11e8-a6a3-ec086b02610b,cat,cat,empty,squirrel
0_0_59279c6f-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_592c4d14-23d2-11e8-a6a3-ec086b02610b,cat,cat,coyote,rabbit
0_0_592de60f-23d2-11e8-a6a3-ec086b02610b,cat,cat,raccoon,fox
0_0_592f7173-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_592f721f-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,fox
0_0_5930ff80-23d2-11e8-a6a3-ec086b02610b,cat,cat,rabbit,rabbit
0_0_5930fff8-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,fox
0_0_593a4d14-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,skunk
0_0_593d6855-23d2-11e8-a6a3-ec086b02610b,cat,cat,dog,skunk
0_0_593ef59d-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_593ef7a9-23d2-11e8-a6a3-ec086b02610b,cat,cat,empty,fox
0_0_594083c1-23d2-11e8-a6a3-ec086b02610b,cat,cat,coyote,bobcat
0_0_594084d4-23d2-11e8-a6a3-ec086b02610b,cat,cat,empty,deer
0_0_594084ee-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_59421139-23d2-11e8-a6a3-ec086b02610b,cat,cat,opossum,rabbit
0_0_59439df0-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,bobcat
0_0_59452b29-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_59452d75-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_0_5946b9a5-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,fox
0_0_5946ba27-23d2-11e8-a6a3-ec086b02610b,cat,cat,coyote,fox
0_0_5946bae9-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,bobcat
0_0_597830ed-23d2-11e8-a6a3-ec086b02610b,cat,cat,fox,fox
0_0_59941dbe-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,dog
0_0_59fae639-23d2-11e8-a6a3-ec086b02610b,cat,cat,empty,skunk
0_0_5a27db00-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,skunk
0_1_58678c86-23d2-11e8-a6a3-ec086b02610b,cat,cat,dog,skunk
0_1_589e6704-23d2-11e8-a6a3-ec086b02610b,cat,cat,rodent,bobcat
0_1_58aa588d-23d2-11e8-a6a3-ec086b02610b,cat,cat,bird,skunk
0_1_58f4226c-23d2-11e8-a6a3-ec086b02610b,cat,cat,bird,skunk
0_1_5919984b-23d2-11e8-a6a3-ec086b02610b,cat,cat,bird,skunk
0_1_592c4ef6-23d2-11e8-a6a3-ec086b02610b,cat,cat,bird,rodent
0_1_594211c1-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,rabbit
0_2_58a37a49-23d2-11e8-a6a3-ec086b02610b,cat,cat,rodent,rabbit
0_2_5919984b-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,deer
0_2_5934184d-23d2-11e8-a6a3-ec086b02610b,cat,cat,bird,squirrel
0_2_593bde27-23d2-11e8-a6a3-ec086b02610b,cat,cat,rodent,fox
0_3_58c4d614-23d2-11e8-a6a3-ec086b02610b,cat,cat,bobcat,badger
0_0_585dab3c-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,rodent,fox
0_0_587eea21-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,bobcat,fox
0_0_58823eb6-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,bobcat,fox
0_0_58d7a36e-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,bobcat,deer
0_0_58f1077d-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,rabbit,fox
0_0_58f73f03-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,bird,fox
0_0_591e3f5b-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,cat,fox
0_0_5935a970-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,rabbit,fox
0_0_5965a8a6-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,car,fox
0_0_5965ab5c-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,dog,dog
0_0_59673731-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,rabbit,fox
0_0_5968c260-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,deer,dog
0_0_596a4d92-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,rabbit,skunk
0_0_596d660a-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,empty,dog
0_0_596ef070-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,empty,dog
0_0_5971fafb-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,bobcat,fox
0_0_597386ce-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,dog,dog
0_0_59751475-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,empty,dog
0_0_597cd649-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,raccoon,fox
0_0_598ad078-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,bobcat,fox
0_0_59910696-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,empty,dog
0_0_59929225-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,fox,fox
0_0_59941ed4-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,deer,fox
0_0_5998cc11-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,empty,fox
0_0_599be8ba-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,empty,dog
0_0_599d7c07-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,fox,deer
0_0_599fbebd-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,empty,fox
0_0_59a17baf-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,empty,fox
0_0_59a49cd5-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,bobcat,fox
0_0_59a628cc-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,dog,dog
0_0_59a94b42-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,rodent,dog
0_0_59aad97f-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,empty,fox
0_0_59b2eab1-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,fox,fox
0_0_59bca4f8-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,cat,fox
0_0_59bca536-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,rabbit,fox
0_0_59be3f40-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,rabbit,deer
0_0_59bfdca8-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,empty,dog
0_0_59bfde0c-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,empty,fox
0_0_59c1771e-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,bobcat,fox
0_0_59c806d0-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,car,cat
0_0_59c99f0e-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,bobcat,fox
0_0_59d0e11f-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,cat,skunk
0_0_59d4197f-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,deer,fox
0_0_59d419c2-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,bobcat,fox
0_0_59d5b78c-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,empty,dog
0_0_59d5b8d7-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,dog,dog
0_0_59d75133-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,cat,dog
0_0_59dc2484-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,deer,dog
0_0_59dc2587-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,rabbit,deer
0_0_59ddc2a5-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,bird,rabbit
0_0_59df5d4e-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,rodent,dog
0_0_59e77cdb-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,dog,deer
0_0_59e91c5b-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,dog,dog
0_0_59eaba06-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,dog,deer
0_0_59ef8e4c-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,empty,dog
0_0_59f2c283-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,dog,empty
0_0_59f2c2d1-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,bobcat,fox
0_0_59f5fcda-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,empty,dog
0_0_59fe218e-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,bobcat,bobcat
0_0_59fe242d-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,bobcat,fox
0_0_59ffb9d5-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,bobcat,bobcat
0_0_5a015b94-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,bobcat,bird
0_0_5a063174-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,rodent,badger
0_0_5a0b001c-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,empty,fox
0_0_5a0c9a50-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,empty,empty
0_0_5a0c9d1a-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,dog,dog
0_0_5a0e352b-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,bobcat,fox
0_0_5a0fd1a5-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,cat,fox
0_0_5a116bcb-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,dog,fox
0_0_5a130a70-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,deer,fox
0_0_5a14a48b-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,cat,fox
0_0_5a14a4f9-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,fox,deer
0_0_5a14a60c-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,rabbit,fox
0_0_5a1641db-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,car,rabbit
0_0_5a197b44-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,bobcat,fox
0_0_5a1cb277-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,fox,dog
0_0_5a1fe64d-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,deer,dog
0_0_5a2176b6-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,rodent,empty
0_0_5a21779f-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,empty,dog
0_0_5a2178b7-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,empty,deer
0_0_5a2178d1-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,empty,dog
0_0_5a24a898-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,rodent,fox
0_0_5a263855-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,dog,dog
0_0_5a2af5d8-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,dog,dog
0_1_589e6941-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,cat,skunk
0_1_597fef37-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,deer,fox
0_1_598dea4d-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,bird,rabbit
0_1_59c17a0c-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,empty,empty
0_1_59ddc2a5-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,rabbit,fox
0_1_59f5fcb9-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,bobcat,fox
0_1_5a07cd54-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,rabbit,dog
0_1_5a116bcb-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,cat,dog
0_1_5a116db4-23d2-11e8-a6a3-ec086b02610b,coyote,coyote,rabbit,deer
0_0_585a646c-23d2-11e8-a6a3-ec086b02610b,dog,dog,coyote,fox
0_0_585f4d96-23d2-11e8-a6a3-ec086b02610b,dog,dog,coyote,fox
0_0_58643705-23d2-11e8-a6a3-ec086b02610b,dog,dog,bird,skunk
0_0_5865e4a4-23d2-11e8-a6a3-ec086b02610b,dog,dog,cat,fox
0_0_587185aa-23d2-11e8-a6a3-ec086b02610b,dog,dog,empty,empty
0_0_58732dcd-23d2-11e8-a6a3-ec086b02610b,dog,dog,coyote,fox
0_0_5874d6db-23d2-11e8-a6a3-ec086b02610b,dog,dog,empty,fox
0_0_587d409b-23d2-11e8-a6a3-ec086b02610b,dog,dog,empty,deer
0_0_587eec13-23d2-11e8-a6a3-ec086b02610b,dog,dog,empty,deer
0_0_5883e861-23d2-11e8-a6a3-ec086b02610b,dog,dog,bobcat,fox
0_0_5883e8c8-23d2-11e8-a6a3-ec086b02610b,dog,dog,cat,deer
0_0_58857bc5-23d2-11e8-a6a3-ec086b02610b,dog,dog,empty,fox
0_0_588a67ef-23d2-11e8-a6a3-ec086b02610b,dog,dog,empty,fox
0_0_588c12e9-23d2-11e8-a6a3-ec086b02610b,dog,dog,cat,fox
